mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,Emotion,Emotion_ID,Path
-398.0422,75.35605,3.555152,13.388279,6.0331125,15.046699,-3.2746794,3.4103808,-3.6091578,-1.7168945,-8.651242,-2.3639233,3.1397507,-2.95309,1.0415163,1.8035823,-3.0160904,0.26065698,2.9246404,-1.9294503,-2.0861773,-1.0784081,-0.43701324,0.4333029,-3.378229,-3.1957223,-0.1550813,-0.9766595,-3.6928742,-2.1950328,0.48568594,-1.5478027,-3.2181597,0.02114327,-0.5493203,-0.62805307,0.052051745,-1.3432611,-1.7601829,-1.5899184,neutral,5,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-01-01-01-01-01.wav
-404.4144,77.657196,1.1821151,14.425774,8.691035,15.811256,-4.6196384,4.848064,-4.0081296,-4.158945,-8.501261,-1.7059567,3.3208592,-2.7894557,0.6188821,1.0195729,-3.1611087,0.048665553,1.9382008,-2.3094063,-2.6073873,-0.7517185,-1.0718224,0.501153,-1.8981416,-3.878762,-0.30256945,-0.87335646,-4.521075,-1.3926704,0.3342806,-2.801111,-3.3094301,0.44899505,-0.5269717,-1.5361525,0.29221094,-1.0845125,-2.3102322,-1.1541592,neutral,5,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-01-01-01-02-01.wav
-423.0302,75.06685,3.6810563,12.329444,6.4562926,11.320028,-3.6641772,4.332827,-5.347966,-3.4265285,-8.55627,-3.659352,1.656869,-3.55057,0.22932607,1.2349949,-2.7900944,-2.3761363,1.578215,-1.8507074,-4.1934056,-2.2036445,0.29457438,1.2385638,-3.0934107,-3.021811,-0.94384885,-0.6084395,-3.1400025,-1.283326,-0.014972444,-1.0264664,-3.324881,-0.4627402,-0.96453965,-1.04203,-0.22775447,-1.2940278,-1.9388529,-1.6482996,neutral,5,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-01-01-02-01-01.wav
-431.4447,70.96046,5.918694,13.914023,6.412232,13.075801,-2.0529938,5.827669,-5.2176867,-3.630437,-7.901123,-2.225666,2.2236297,-0.7482827,0.12107032,1.3803095,-2.69438,-0.905174,1.6628042,-0.6373806,-3.2773907,-1.1475571,0.4493166,0.21830277,-2.5045137,-2.8067286,-1.4888576,-0.10529311,-2.3499088,-1.6945221,-0.40320143,-1.3981997,-2.7337859,-0.34440973,-0.80639064,-0.6347188,0.4998143,-1.6435846,-1.7578952,-1.6410266,neutral,5,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-01-01-02-02-01.wav
-374.96695,88.75673,6.5754924,16.645142,7.1181736,16.783058,-3.9649441,5.0497084,-6.5024357,-1.1743642,-9.485906,-4.474838,2.318814,-2.3807821,-0.6106164,0.8074668,-3.1262429,-0.8992987,3.3287232,-2.3771193,-3.6489503,-0.4206576,-0.35991037,-0.70485544,-3.5431623,-2.524146,-1.6728611,-1.1002849,-4.394815,-2.34219,0.23506095,-2.5828533,-3.3438568,0.53029895,-1.2104989,-1.6605766,0.4102996,-1.7856561,-1.4777374,-0.73233473,calm,1,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-02-01-01-01-01.wav
-369.30093,94.52046,9.770503,13.529407,6.1476636,18.295021,-3.3388596,3.4479907,-6.511609,-2.1089334,-7.0427136,-4.9149127,3.5107377,-1.3119078,-0.15540005,0.032070618,-2.6658156,-1.7736769,3.0474193,-1.9387928,-3.247602,-1.7236224,0.11674143,-0.1822823,-3.3978312,-2.131313,-2.2739975,-0.9504292,-3.8611052,-2.6414487,0.25429296,-2.6989646,-2.6692953,-0.3345545,-1.2047465,-1.171736,-0.3311552,-2.5718067,-2.3690064,-1.9677283,calm,1,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-02-01-01-02-01.wav
-384.8445,95.09479,5.5331445,16.722399,6.0484767,16.179253,-3.7107368,8.27746,-5.742377,-1.2546576,-7.3955674,-4.62157,3.8143864,-1.9991877,2.255238,1.0806953,-3.505377,1.0545048,3.049223,-3.2147923,-4.7982802,-1.3625922,-0.0751096,0.728947,-5.1844587,-2.3095725,-1.981976,-0.16314913,-3.1204643,-2.088127,-0.3527105,-1.8182027,-4.048533,1.2528228,-2.1525152,-1.3714173,-0.67166334,-2.234709,-1.9895688,-1.166192,calm,1,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-02-01-02-01-01.wav
-403.13538,94.63251,8.176188,14.060357,7.4465714,16.7495,-3.7292,7.6814466,-5.9083304,-2.398621,-6.800247,-4.433538,2.4025404,-1.8342415,1.2146177,1.1256982,-3.3108156,0.34169888,3.0910516,-2.0780096,-4.3549404,-0.87137693,-0.57042265,0.98752856,-4.867978,-3.3723001,-1.9100721,-0.71809363,-2.1419973,-1.9039981,-0.7846234,-1.0997634,-3.2199452,0.38876837,-2.3252096,-1.3805349,-0.53057724,-2.5493834,-2.0719843,-0.4945749,calm,1,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-02-01-02-02-01.wav
-356.05502,102.423004,11.68823,17.286337,7.3644958,19.506884,-3.7512782,5.3150153,-6.9933844,0.9412174,-6.724201,-3.8463087,2.799043,0.74248886,1.650788,-0.088295825,-3.070101,0.23527373,2.7361858,-1.4047706,-0.28022334,-2.871106,-0.018266827,3.1767638,-4.8483896,-3.5842836,-0.30625346,-0.7929459,-4.107062,-1.9487275,0.22035268,-1.8384322,-1.783017,0.86104935,-1.9962236,-0.92344016,-0.8002237,-2.3641617,-3.1432579,-2.4901173,calm,1,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-02-02-01-01-01.wav
-320.93146,110.38736,4.7953105,17.654076,3.9322085,21.173906,-7.744667,7.2317576,-10.622242,-1.7272031,-7.782126,-5.6103053,5.0609393,-1.5068656,1.2252598,-2.0056515,-3.567684,-0.682369,2.3676035,-3.6607978,-2.0481195,-2.5132527,-0.4194273,2.2367845,-5.718818,-2.9284089,-0.7712319,-0.19044779,-4.6568794,-2.2704692,-0.5574223,-2.9582005,-3.1760998,-0.38919377,-1.2372218,-1.3203278,-1.6070056,-3.0533164,-2.8860204,-2.8715794,calm,1,c:\Users\Kacpiro Recenzje\Desktop\Studia\XAI_2026\data\raw\Actor_01\03-01-02-02-01-02-01.wav
