mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_mean_21,mfcc_mean_22,mfcc_mean_23,mfcc_mean_24,mfcc_mean_25,mfcc_mean_26,mfcc_mean_27,mfcc_mean_28,mfcc_mean_29,mfcc_mean_30,mfcc_mean_31,mfcc_mean_32,mfcc_mean_33,mfcc_mean_34,mfcc_mean_35,mfcc_mean_36,mfcc_mean_37,mfcc_mean_38,mfcc_mean_39,mfcc_mean_40,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,mfcc_std_21,mfcc_std_22,mfcc_std_23,mfcc_std_24,mfcc_std_25,mfcc_std_26,mfcc_std_27,mfcc_std_28,mfcc_std_29,mfcc_std_30,mfcc_std_31,mfcc_std_32,mfcc_std_33,mfcc_std_34,mfcc_std_35,mfcc_std_36,mfcc_std_37,mfcc_std_38,mfcc_std_39,mfcc_std_40,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_mean_13,mfcc_delta_mean_14,mfcc_delta_mean_15,mfcc_delta_mean_16,mfcc_delta_mean_17,mfcc_delta_mean_18,mfcc_delta_mean_19,mfcc_delta_mean_20,mfcc_delta_mean_21,mfcc_delta_mean_22,mfcc_delta_mean_23,mfcc_delta_mean_24,mfcc_delta_mean_25,mfcc_delta_mean_26,mfcc_delta_mean_27,mfcc_delta_mean_28,mfcc_delta_mean_29,mfcc_delta_mean_30,mfcc_delta_mean_31,mfcc_delta_mean_32,mfcc_delta_mean_33,mfcc_delta_mean_34,mfcc_delta_mean_35,mfcc_delta_mean_36,mfcc_delta_mean_37,mfcc_delta_mean_38,mfcc_delta_mean_39,mfcc_delta_mean_40,mfcc_delta_std_1,mfcc_delta_std_2,mfcc_delta_std_3,mfcc_delta_std_4,mfcc_delta_std_5,mfcc_delta_std_6,mfcc_delta_std_7,mfcc_delta_std_8,mfcc_delta_std_9,mfcc_delta_std_10,mfcc_delta_std_11,mfcc_delta_std_12,mfcc_delta_std_13,mfcc_delta_std_14,mfcc_delta_std_15,mfcc_delta_std_16,mfcc_delta_std_17,mfcc_delta_std_18,mfcc_delta_std_19,mfcc_delta_std_20,mfcc_delta_std_21,mfcc_delta_std_22,mfcc_delta_std_23,mfcc_delta_std_24,mfcc_delta_std_25,mfcc_delta_std_26,mfcc_delta_std_27,mfcc_delta_std_28,mfcc_delta_std_29,mfcc_delta_std_30,mfcc_delta_std_31,mfcc_delta_std_32,mfcc_delta_std_33,mfcc_delta_std_34,mfcc_delta_std_35,mfcc_delta_std_36,mfcc_delta_std_37,mfcc_delta_std_38,mfcc_delta_std_39,mfcc_delta_std_40,Emotion,Emotion_ID,Path
-398.0422,75.35605,3.5551515,13.388279,6.033112,15.046699,-3.2746792,3.4103808,-3.6091578,-1.7168946,-8.651242,-2.3639233,3.1397505,-2.9530895,1.0415161,1.8035823,-3.0160909,0.26065695,2.9246407,-1.9294503,-2.0861773,-1.0784081,-0.43701333,0.4333029,-3.378229,-3.1957223,-0.1550814,-0.9766595,-3.6928747,-2.1950333,0.48568594,-1.5478027,-3.2181597,0.021143325,-0.54932034,-0.62805307,0.052051786,-1.3432611,-1.7601827,-1.5899184,159.49353,85.33882,21.334902,21.721827,14.166721,19.56297,14.686005,8.942014,11.544602,8.729005,13.269471,8.031464,9.031365,9.747324,8.196359,7.1041083,6.080479,5.830476,5.594669,5.973337,7.505523,5.1054764,5.836013,3.6726253,5.5306334,6.603872,3.388898,3.8411973,6.4521594,5.5135317,3.3729763,3.995529,6.2090755,3.6551876,3.6087718,4.3609715,3.4643276,3.875493,4.206503,3.963751,0.0006330774,0.00089188165,0.00088213524,0.00086596335,0.00084369065,0.00081557414,0.00078197237,0.0007433215,0.0007001567,0.0006530302,0.0006025666,0.0005493874,0.0004941825,0.0004376486,0.00038046026,0.00032332222,0.00026688678,0.00021183744,0.00015873267,0.00010817355,6.0641596e-05,1.66149e-05,-2.3564548e-05,-5.9567446e-05,-9.118074e-05,-0.00011821841,-0.00014065429,-0.00015847269,-0.00017177974,-0.00018070945,-0.00018552516,-0.0001865228,-0.00018405238,-0.00017854646,-0.00017044054,-0.00016023927,-0.00014845615,-0.00013562804,-0.0001222878,-0.00010897927,10.795663,6.7036242,3.2619026,3.2767532,2.5719535,2.5639079,2.5143592,1.7989507,1.6653591,1.2902095,1.7575816,1.2016798,1.5811651,1.4449767,1.2603654,1.2576864,0.7996934,0.9791963,0.8115046,0.7563825,1.0768236,0.7769401,0.7821441,0.57393813,0.6545977,1.0110912,0.6698173,0.7240273,0.96357924,0.9499983,0.598757,0.73214513,0.98194265,0.666572,0.68385327,0.64995295,0.6908608,0.6161122,0.6412504,0.6503817,neutral,5,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-01-01-01-01-01.wav
-404.4144,77.657196,1.1821151,14.425774,8.691035,15.811256,-4.619638,4.848064,-4.0081296,-4.158945,-8.50126,-1.7059567,3.3208594,-2.7894557,0.6188822,1.0195729,-3.1611087,0.04866547,1.9382006,-2.3094063,-2.6073873,-0.75171846,-1.0718224,0.50115305,-1.8981419,-3.878762,-0.3025695,-0.87335646,-4.521075,-1.3926703,0.33428067,-2.801111,-3.3094301,0.44899517,-0.5269717,-1.5361526,0.29221097,-1.0845125,-2.3102322,-1.1541592,159.55386,79.166245,24.333838,19.574867,12.899366,19.685331,15.144204,8.374699,11.96244,8.454899,12.898679,7.60809,8.564652,9.2981415,8.767604,6.6243086,6.7150187,5.479177,6.6205044,6.731873,6.790313,4.7658014,6.0999694,3.490164,5.1177726,7.8158197,3.4642959,4.3612947,7.2470264,4.8538313,3.690956,5.214339,6.0184526,3.2038784,2.9658954,4.570339,3.1349125,4.1938334,4.3852096,3.6159277,-0.007227255,-0.010178505,-0.010052393,-0.0098452065,-0.009561518,-0.009207272,-0.008790077,-0.0083185835,-0.007802507,-0.007252211,-0.0066783833,-0.0060918415,-0.0055031744,-0.0049224542,-0.004358939,-0.0038208775,-0.0033152576,-0.0028477223,-0.0024222923,-0.0020414616,-0.0017060853,-0.0014154962,-0.0011674783,-0.00095852005,-0.00078391016,-0.000638025,-0.00051445235,-0.00040637687,-0.00030680245,-0.00020878027,-0.00010577077,8.197541e-06,0.00013826924,0.00028856553,0.00046202986,0.0006603417,0.00088385236,0.0011315659,0.0014011572,0.0016891179,11.868958,6.397099,4.204958,2.622614,2.1042545,2.6614618,2.2639606,1.5892879,1.5462533,1.2897694,1.6696389,1.2145169,1.4316765,1.4172714,1.2532566,1.1619793,0.70220053,1.0016202,0.903322,1.0913831,0.9253146,0.79033184,0.8282452,0.6273406,0.64053625,1.0599989,0.54989016,0.8535511,1.0217115,0.7226286,0.6494878,0.73124385,0.73999846,0.55805,0.51724255,0.64389706,0.5606535,0.73539865,0.66324264,0.65040946,neutral,5,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-01-01-01-02-01.wav
-423.0302,75.06686,3.6810563,12.329444,6.456292,11.320029,-3.6641772,4.332827,-5.347966,-3.4265285,-8.55627,-3.659352,1.6568688,-3.55057,0.22932623,1.2349951,-2.7900946,-2.3761363,1.578215,-1.8507074,-4.1934056,-2.2036443,0.2945743,1.2385639,-3.0934107,-3.0218112,-0.94384885,-0.6084395,-3.1400025,-1.2833258,-0.014972389,-1.0264661,-3.3248816,-0.46274015,-0.96453965,-1.0420302,-0.22775452,-1.2940278,-1.9388528,-1.6482996,163.93736,87.28436,18.7205,25.515957,10.620515,16.747305,15.843295,10.197484,12.0301895,8.189419,13.138665,7.7084017,8.820802,8.485222,7.1522326,6.958516,5.944806,7.1268597,5.6497693,4.6956787,7.381786,5.3167095,5.2839355,4.2403626,6.2958,5.836699,3.3893867,4.3523383,5.3773255,4.251732,4.0798197,3.6073675,5.543749,4.323854,4.0464044,4.441044,2.7506013,3.212131,3.6775422,3.7561476,-0.023228314,-0.032754615,-0.032471,-0.032003194,-0.031358298,-0.030546067,-0.029578615,-0.028470289,-0.027237203,-0.025896976,-0.024468303,-0.022970699,-0.021423917,-0.01984772,-0.018261496,-0.01668383,-0.015132336,-0.013623173,-0.012171103,-0.01078907,-0.00948818,-0.00827759,-0.0071644764,-0.0061540487,-0.0052495883,-0.004452492,-0.0037624924,-0.0031776668,-0.0026946813,-0.002308913,-0.0020146267,-0.0018051736,-0.0016731742,-0.0016105361,-0.0016089086,-0.0016595387,-0.0017535428,-0.0018820146,-0.0020361217,-0.0022071998,10.588569,7.8897257,3.0044818,3.3150039,1.813841,2.0145657,2.374388,1.2973515,1.6048192,1.3955387,1.6227105,1.0957987,1.3676593,1.2231728,1.0372825,1.116155,0.9752303,1.0976905,0.9439222,0.70946467,1.0557381,0.858876,0.72051394,0.80053324,0.80824226,0.9165725,0.69107753,0.858817,0.6763914,0.7489233,0.66057247,0.5816896,0.700731,0.71558124,0.7309438,0.651703,0.5075328,0.5224637,0.57622075,0.71687156,neutral,5,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-01-01-02-01-01.wav
-431.4447,70.96046,5.918694,13.914023,6.412232,13.075801,-2.0529938,5.8276696,-5.2176867,-3.6304371,-7.901123,-2.225666,2.2236297,-0.7482828,0.121070534,1.3803096,-2.69438,-0.905174,1.6628042,-0.6373805,-3.2773902,-1.1475571,0.44931653,0.2183026,-2.5045137,-2.8067286,-1.4888576,-0.10529321,-2.3499086,-1.694522,-0.40320137,-1.3981998,-2.7337856,-0.34440964,-0.8063907,-0.63471866,0.49981436,-1.6435846,-1.7578952,-1.6410267,163.2321,79.44712,20.827412,25.035252,11.554323,17.04621,13.389914,8.888292,12.323129,9.820407,12.280992,7.2969255,7.793907,7.6246142,6.468087,5.503092,6.4112296,6.8214226,5.7865443,4.9946218,7.8815756,5.199025,4.766417,4.3577495,5.67576,6.280151,4.048995,3.7014234,4.8694115,4.976207,3.8015618,4.3079405,5.7172556,3.8625898,3.464071,3.9422963,3.1750476,4.279305,3.8973312,4.3471127,-0.0396274,-0.039075702,-0.008994299,0.004393557,0.00044219376,-0.006351755,-0.006970612,0.0052755084,0.026839107,0.035481364,0.01908476,-0.002150392,-0.0074326503,-0.003844099,-0.0036611506,-0.0048746928,-0.0066565857,-0.012265414,-0.014470324,-0.006842493,0.00038397903,-0.00025240073,0.0011828858,0.009045606,0.012075783,0.007256821,0.0042189504,0.0042883796,0.002894104,0.0040179263,0.008497501,0.0057882196,-0.0049233097,-0.009306437,-0.003190847,0.0031432158,0.005937686,0.007232896,0.002840507,-0.0060227914,11.038968,7.977477,3.197803,3.008646,2.010987,1.9948584,2.0021837,1.4131827,1.5982026,1.6741413,1.7363571,1.2085588,1.2834378,1.2308185,1.0065073,1.0465114,0.82625294,1.1402816,0.97193515,0.7628883,1.0050021,0.85963935,0.7183987,0.74668455,0.71575576,1.0006975,0.7071157,0.63037306,0.6415149,0.7496659,0.6900761,0.7030684,0.71301293,0.67962015,0.56077325,0.6268185,0.6223755,0.6229863,0.50027233,0.7990446,neutral,5,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-01-01-02-02-01.wav
-374.96695,88.756744,6.5754924,16.645142,7.1181736,16.783058,-3.9649436,5.0497084,-6.502435,-1.1743641,-9.485906,-4.4748373,2.318814,-2.380782,-0.61061645,0.8074668,-3.1262429,-0.8992987,3.3287232,-2.377119,-3.64895,-0.4206577,-0.35991058,-0.7048555,-3.5431623,-2.5241463,-1.672861,-1.1002848,-4.394815,-2.3421898,0.23506089,-2.5828533,-3.3438568,0.53029895,-1.2104988,-1.6605767,0.41029954,-1.7856561,-1.4777375,-0.73233473,162.35138,78.477615,25.027258,25.100351,14.657791,19.80157,15.283868,10.178429,12.125116,8.253883,11.466906,8.152136,10.104655,9.272989,7.2261643,6.3740582,6.959666,6.792562,6.35461,6.8722663,8.394644,5.8287487,5.831928,5.837782,6.3525186,6.159664,4.6242576,4.3111796,6.6779222,5.461977,3.5883079,4.5103054,5.450913,3.4767313,4.340321,4.8222094,4.5072374,5.1363955,3.7989564,3.3356276,-0.0016811723,-0.0023711184,-0.0023509627,-0.0023176789,-0.0022717537,-0.002213901,-0.0021448676,-0.0020657126,-0.00197754,-0.0018815927,-0.0017792383,-0.0016719027,-0.00156106,-0.0014482602,-0.0013349969,-0.001222796,-0.0011130968,-0.0010073236,-0.0009067836,-0.0008126387,-0.0007260133,-0.0006478078,-0.00057879067,-0.00051955803,-0.00047053344,-0.00043198233,-0.00040392164,-0.00038623135,-0.00037862224,-0.0003805837,-0.00039149134,-0.00041054835,-0.0004368099,-0.00046926102,-0.0005067342,-0.00054802623,-0.0005918547,-0.00063691917,-0.0006819042,-0.0007255229,12.302323,6.9047613,4.2626276,3.186332,2.4616148,2.3764317,2.201393,1.6811738,1.7199583,1.4615405,1.4534212,1.2185303,1.522265,1.389209,1.0594915,1.1945709,1.0247127,1.1445949,0.9712928,0.9964758,1.0920621,0.83302385,0.90539885,0.84347266,0.75740147,0.8903012,0.7609546,0.6505847,0.9094731,0.88170666,0.6708152,0.68179953,0.79229087,0.6248122,0.67742175,0.67588526,0.7211266,0.8244734,0.5795831,0.56242824,calm,1,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-02-01-01-01-01.wav
-369.30093,94.52047,9.770505,13.5294075,6.1476636,18.295023,-3.3388596,3.4479902,-6.5116086,-2.1089334,-7.042713,-4.9149127,3.5107377,-1.3119076,-0.15539983,0.032070566,-2.6658156,-1.7736769,3.0474193,-1.9387928,-3.247602,-1.7236223,0.11674153,-0.18228225,-3.3978307,-2.1313128,-2.2739975,-0.9504291,-3.8611052,-2.6414492,0.25429288,-2.6989646,-2.669295,-0.33455458,-1.2047465,-1.171736,-0.33115518,-2.5718067,-2.3690064,-1.9677283,144.49959,81.074135,25.511421,26.529318,13.267933,20.360628,13.616285,8.133697,12.726426,7.1120143,10.219914,8.672592,10.012008,8.66963,8.035468,5.729773,5.5156555,6.603386,7.4641566,7.1178365,8.572039,4.942958,5.919053,4.697836,6.2831554,5.9570885,4.6236515,4.424149,6.5999045,5.351995,3.4250424,3.6966684,4.366986,3.4212546,3.5096428,4.2379117,3.9242842,4.3525577,4.071034,3.59308,0.00017985892,0.00025409673,0.00025370443,0.0002530754,0.00025214202,0.00025098544,0.00024955155,0.00024786062,0.00024590932,0.0002437162,0.0002412796,0.00023857414,0.00023564887,0.0002324784,0.00022907121,0.00022543407,0.00022158724,0.00021749861,0.00021321047,0.00020869912,0.00020400513,0.00019908797,0.00019400509,0.00018873114,0.00018327794,0.00017765397,0.0001718609,0.00016592919,0.00015984022,0.00015361597,0.00014725982,0.0001407718,0.0001341857,0.00012748038,0.000120679746,0.00011379668,0.000106826745,9.9785786e-05,9.269241e-05,8.553647e-05,11.36797,6.6984687,4.267586,3.4103646,2.3127027,2.2735062,2.2129016,1.2690718,1.6317149,1.1913142,1.494278,1.2204516,1.4843978,1.4813614,1.228249,1.0696933,0.92562497,1.1698712,1.1736779,1.121775,1.1228834,0.7430434,1.0311971,0.66719943,0.7456853,0.94209075,0.87148494,0.79791856,0.86342627,0.80899894,0.62987936,0.5479063,0.64344627,0.70512265,0.60297555,0.6794146,0.6881209,0.6892674,0.65685403,0.59277046,calm,1,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-02-01-01-02-01.wav
-384.8445,95.09479,5.533145,16.722399,6.048476,16.17925,-3.710737,8.27746,-5.742377,-1.2546575,-7.3955665,-4.62157,3.8143864,-1.9991877,2.255238,1.0806952,-3.5053768,1.0545048,3.049223,-3.2147925,-4.7982802,-1.3625923,-0.0751096,0.728947,-5.184459,-2.3095725,-1.9819758,-0.16314903,-3.120464,-2.0881267,-0.35271057,-1.8182027,-4.048533,1.2528228,-2.1525152,-1.3714173,-0.6716632,-2.2347093,-1.9895688,-1.1661922,177.37695,89.84801,24.372507,27.754984,13.674059,18.813364,16.332926,10.702534,12.028901,9.035909,13.314874,8.87515,11.197866,7.8955655,8.795925,5.228174,7.945003,6.6539392,5.610926,7.0923743,8.615002,5.171433,5.1464825,6.0836606,7.839858,5.9697576,4.5119815,5.182864,4.8488617,5.008292,3.8940103,4.197962,6.0571465,3.3338504,4.178556,4.5774856,3.518915,4.5745454,3.9057696,3.5444546,-0.024371965,-0.033672143,-0.03177467,-0.029822532,-0.0285686,-0.027952952,-0.027345566,-0.026240189,-0.02470089,-0.023182131,-0.021996602,-0.02102365,-0.01993614,-0.018646883,-0.017454928,-0.016722402,-0.016436465,-0.016143385,-0.015344386,-0.013950415,-0.012327539,-0.010894396,-0.009697725,-0.008403911,-0.006701145,-0.004680955,-0.002802199,-0.0014854796,-0.0007629226,-0.0003291715,9.393185e-05,0.00048366506,0.0006111649,0.0003674246,-6.1407154e-05,-0.00036952345,-0.0004570704,-0.0005338826,-0.00087196945,-0.0014694118,11.335267,8.951893,3.8393447,3.3500645,2.34222,2.3437722,2.3133707,1.575042,1.6687585,1.6229692,1.8060766,1.221424,1.5413115,1.0611172,1.22554,0.9710052,1.1301138,1.2099484,0.85793227,0.88995254,1.0336684,0.8908724,0.90313286,0.88412833,0.9157182,1.107883,0.74375486,0.90548605,0.7787637,0.73294,0.6165848,0.7461577,0.7425814,0.63939565,0.5350773,0.7006276,0.61468416,0.74907935,0.6293443,0.5947185,calm,1,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-02-01-02-01-01.wav
-403.13538,94.63251,8.176188,14.060357,7.4465714,16.7495,-3.7292,7.6814466,-5.9083314,-2.398621,-6.800247,-4.433538,2.4025404,-1.8342415,1.2146176,1.125698,-3.3108156,0.34169894,3.0910516,-2.0780098,-4.3549404,-0.8713769,-0.57042277,0.98752856,-4.867978,-3.3723001,-1.9100721,-0.7180936,-2.141997,-1.9039981,-0.7846234,-1.0997635,-3.2199452,0.38876843,-2.3252096,-1.3805349,-0.5305773,-2.5493834,-2.0719848,-0.4945749,174.91754,89.20989,21.521175,25.815115,11.129533,17.582623,14.012607,9.555855,12.358318,8.553603,11.80646,8.600975,9.984293,7.3288493,7.8350244,5.691063,7.1946507,6.2037134,6.1338053,6.413093,9.507306,5.6552243,4.8220606,5.392378,7.2851353,7.0316443,4.25053,4.7872076,4.7026796,4.7785597,3.651781,3.942858,5.5806084,3.5958464,4.239564,3.8849843,3.1045597,4.3732862,3.6100996,3.410174,-0.030890932,-0.036603995,-0.03383552,-0.026327673,-0.023716243,-0.02530919,-0.021370035,-0.023563743,-0.015127561,-0.013164047,-0.00618331,-0.003243475,-0.005692033,-0.0047860686,-0.011267307,-0.0067937206,-0.008249621,-0.0046415245,-0.004190878,-0.007138046,-0.0047355136,-0.009537409,-0.0043670083,-0.0053580506,-0.0003352199,0.0024324309,0.0012085285,0.0040445803,-0.0010992703,0.0036512758,0.0020652264,0.005719045,0.006504882,0.0032504532,0.004374298,-0.0022299187,0.0011194255,-0.0015423095,0.0015118156,0.0023423927,10.598217,8.39388,3.3631485,3.2310004,1.8195937,2.2179496,2.0364146,1.693569,1.6024837,1.5342342,1.6014818,1.1467092,1.4987143,1.1240232,1.0753366,0.9210734,0.9082872,0.9429257,0.94957805,0.8522414,1.1461594,1.0197346,0.72633237,0.86773723,0.8073481,1.1525437,0.67554873,0.82723665,0.73364234,0.64722127,0.626858,0.6996711,0.75306135,0.6691187,0.72095567,0.515989,0.4705908,0.63783246,0.47028342,0.5585817,calm,1,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-02-01-02-02-01.wav
-356.05502,102.423004,11.68823,17.286337,7.3644967,19.506884,-3.7512782,5.315015,-6.9933844,0.94121754,-6.7242007,-3.8463087,2.799043,0.742489,1.6507878,-0.08829568,-3.0701008,0.23527375,2.7361858,-1.4047706,-0.28022328,-2.8711057,-0.018266827,3.1767638,-4.8483896,-3.5842836,-0.30625343,-0.7929459,-4.107062,-1.9487273,0.22035263,-1.8384322,-1.7830172,0.86104923,-1.9962238,-0.9234404,-0.8002237,-2.3641617,-3.143258,-2.490117,169.18791,78.65233,23.40823,26.38179,13.768054,20.585629,15.351576,9.444731,12.711108,7.185445,9.87972,8.807497,10.023028,7.4593067,7.753989,5.1788282,5.8278484,5.513852,5.640081,6.9169173,6.221495,6.0303497,5.905981,5.803556,7.3339934,7.497881,5.447736,5.0029883,6.3373117,5.723859,4.1601048,4.1634583,4.832745,3.493279,4.512172,4.7692165,3.837053,4.741961,4.010852,3.4998472,0.007978507,0.010764806,0.009797969,0.008014225,0.0071874983,0.006810141,0.0071573188,0.0071880464,0.007122297,0.0058931103,0.00500702,0.004265038,0.0038805548,0.0028966065,0.0020572906,2.610768e-05,-0.002427436,-0.005100876,-0.006809409,-0.007898116,-0.007190327,-0.0062553864,-0.005478773,-0.005320657,-0.004742536,-0.0046315887,-0.003946656,-0.0034120048,-0.0030346797,-0.003490475,-0.0037598298,-0.0047520115,-0.005289377,-0.005136294,-0.003847966,-0.0027741406,-0.0013841349,-0.00067601854,-0.00013785582,8.742184e-05,11.634248,6.850657,4.0502143,3.1398854,2.0822718,2.475773,2.2733567,1.5400411,1.7070973,1.3938519,1.4474137,1.134074,1.431314,1.2193521,0.9666219,0.904344,1.0674206,1.0242605,0.9087882,1.1823943,0.98327225,0.99467885,0.859991,0.93785053,0.9216544,1.2770277,0.9006835,0.947388,0.9498836,0.9693374,0.81474894,0.66174245,0.787603,0.6569232,0.71951455,0.70933765,0.6478703,0.7343845,0.5279905,0.60427725,calm,1,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-02-02-01-01-01.wav
-320.93146,110.38736,4.7953105,17.654076,3.9322085,21.173906,-7.744667,7.2317576,-10.622242,-1.7272031,-7.782126,-5.610305,5.060939,-1.5068659,1.2252598,-2.0056515,-3.5676837,-0.6823691,2.3676035,-3.6607978,-2.0481195,-2.513253,-0.4194273,2.2367847,-5.7188187,-2.928409,-0.7712317,-0.1904478,-4.6568794,-2.2704694,-0.5574224,-2.9582005,-3.1761,-0.3891937,-1.237222,-1.3203276,-1.6070056,-3.0533164,-2.8860204,-2.8715794,139.77574,74.89382,27.743322,27.113716,14.186147,20.423864,16.798727,11.533289,14.336149,7.741262,9.996476,10.128392,11.078799,9.566101,8.808968,6.207287,6.676684,7.2359767,6.359343,6.3110538,8.202514,5.4691143,7.2137218,5.5273614,7.7195706,6.3659225,5.3901315,4.649351,6.954335,5.629368,5.3321333,4.8686604,4.9729733,4.150049,4.717087,4.5240207,4.030093,4.2345133,4.26323,4.2742352,-0.013929435,-0.018633524,-0.015843106,-0.0121151535,-0.008004709,-0.0038719042,-0.0002161256,0.002424186,0.003847983,0.0042840587,0.0041859504,0.0039793244,0.0038072302,0.0034421843,0.0026424176,0.0016415694,0.0010469789,0.001159903,0.0016073877,0.0017796848,0.0015011645,0.0011364856,0.001076952,0.0012414954,0.0011817175,0.0006863208,0.00014531359,0.00017823733,0.0009576852,0.0020206617,0.0026948166,0.0026200663,0.001950669,0.001161829,0.0005941239,0.0001682525,-0.0003133006,-0.00064863125,-0.0003595978,0.00060500996,11.870253,6.829973,4.7823334,3.3383162,2.4169946,2.4816837,2.5671937,1.792316,1.9869415,1.285369,1.4533161,1.500319,1.5951276,1.5222383,1.2601163,1.1748704,1.0658678,1.277453,0.9826399,1.0803249,1.1018921,0.88950276,0.9969283,1.023212,1.0519598,0.9877292,0.9418962,0.8837225,0.9855556,0.98232436,0.8503139,0.71999085,0.79091746,0.7155173,0.69689155,0.6637448,0.68192583,0.59908444,0.6742172,0.68084866,calm,1,C:\Users\shahe\4XAI\Project\data\raw\Actor_01\03-01-02-02-01-02-01.wav
